"site_name","subsite","year","treatment","plot","prior_visit","plant_id","doy"
"TOOLIK","TOOLIK.USTOOLIKMOIST.JW",1995,"SNOWFENCE_DEEP",101,159,"MOIST_1_101_CTL_BETNAN",163
"TOOLIK","TOOLIK.USTOOLIKMOIST.JW",1995,"SNOWFENCE_DEEP",101,159,"MOIST_1_101_CTL_ERIVAG",163
"TOOLIK","TOOLIK.USTOOLIKMOIST.JW",1995,"SNOWFENCE_DEEP",101,159,"MOIST_1_101_CTL_SALPUL",163
"TOOLIK","TOOLIK.USTOOLIKMOIST.JW",1995,"SNOWFENCE_DEEP",101,159,"MOIST_1_101_CTL_VACVIT",163
"TOOLIK","TOOLIK.USTOOLIKMOIST.JW",1995,"SNOWFENCE_DEEP_OTC",105,165,"MOIST_1_105_OTC_BETNAN",166
"TOOLIK","TOOLIK.USTOOLIKMOIST.JW",1995,"SNOWFENCE_DEEP_OTC",105,165,"MOIST_1_105_OTC_ERIVAG",166
"TOOLIK","TOOLIK.USTOOLIKMOIST.JW",1995,"SNOWFENCE_DEEP_OTC",105,165,"MOIST_1_105_OTC_SALPUL",166
"TOOLIK","TOOLIK.USTOOLIKMOIST.JW",1995,"SNOWFENCE_DEEP_OTC",105,165,"MOIST_1_105_OTC_VACVIT",166
"TOOLIK","TOOLIK.USTOOLIKMOIST.JW",1995,"SNOWFENCE_DEEP_OTC",106,159,"MOIST_1_106_OTC_BETNAN",163
"TOOLIK","TOOLIK.USTOOLIKMOIST.JW",1995,"SNOWFENCE_DEEP_OTC",106,159,"MOIST_1_106_OTC_ERIVAG",163
"TOOLIK","TOOLIK.USTOOLIKMOIST.JW",1995,"SNOWFENCE_DEEP_OTC",106,159,"MOIST_1_106_OTC_SALPUL",163
"TOOLIK","TOOLIK.USTOOLIKMOIST.JW",1995,"SNOWFENCE_DEEP_OTC",106,159,"MOIST_1_106_OTC_VACVIT",163
"TOOLIK","TOOLIK.USTOOLIKMOIST.JW",1995,"SNOWFENCE_DEEP_OTC",107,159,"MOIST_1_107_OTC_BETNAN",163
"TOOLIK","TOOLIK.USTOOLIKMOIST.JW",1995,"SNOWFENCE_DEEP_OTC",107,159,"MOIST_1_107_OTC_ERIVAG",163
"TOOLIK","TOOLIK.USTOOLIKMOIST.JW",1995,"SNOWFENCE_DEEP_OTC",107,159,"MOIST_1_107_OTC_SALPUL",163
