DATA SET TITLE=Toolik Snowfence Experiment: 2002 Plant phenology 																		
"PI/DATA CONTACT=Marilyn Walker (University of Alaska, USFS/PNW)"																		
DATA COVERAGE=START: 20020522; STOP: 20020826																		
"LOCATION=Toolik Field Station (68.62710 N, 149.59322 W)"																		
"DATA VERSION=1.0 (17 January, 2003), PRELIMINARY"																		
REMARKS=Part of the International Tundra Experiment Network (ITEX)																		
"REMARKS=Missing data and empty cells=""-9999""; Aborted=""AAA"""																		
REMARKS=See associated species file (USTOOLIK_specieslist.txt) for species code definitions																		

SITE	YEAR	LOCATION	ZONE	PLOT	TREATMENT	SPECIES_CODE	FIRST_SNOWFREE_DAY	FIRST_LEAF_EVIDENT 	FIRST_FLOWER_BUD 	FIRST_FLOWER_OPEN 	FIRST_PETAL_DROP	LAST_PETAL_DROP 	FIRST_SEED_DISPERSAL 	SECOND_SEED_DISPERSAL	FIRST_COLOR_CHANGE	LAST_COLOR_CHANGE		
	 	 	 	 	 	 										 	 	 
USTOOLIK	2002	DRY	0	1	OTC	DRYOCT	142	-9999	149	156	165	165	-9999	-9999	207	-9999		
USTOOLIK	2002	DRY	0	1	OTC	VACVIT	142	-9999	154	168	180	191	-9999	-9999	212	-9999		
USTOOLIK	2002	DRY	0	1	OTC	LOIPRO	142	-9999	-9999	151	158	170	203	-9999	191	-9999		
USTOOLIK	2002	DRY	0	1	OTC	DIALAP	142	-9999	-9999	168	-9999	-9999	-9999	-9999	189	-9999		
USTOOLIK	2002	DRY	0	1	OTC	ARCALP	142	-9999	-9999	-9999	-9999	-9999	-9999	-9999	191	232		
USTOOLIK	2002	DRY	0	1	OTC	SALPHL	142	-9999	-9999	-9999	-9999	-9999	-9999	-9999	207	238
USTOOLIK	2002	DRY	0	2	OTC	DRYOCT	142	-9999	151	158	165	165	203	210	189	-9999
USTOOLIK	2002	DRY	0	2	OTC	VACVIT	142	-9999	154	175	180	189	-9999	-9999	212	-9999
USTOOLIK	2002	DRY	0	2	OTC	LOIPRO	142	-9999	-9999	151	161	170	207	-9999	189	-9999
USTOOLIK	2002	DRY	0	2	OTC	DIALAP	142	-9999	-9999	158	165	170	-9999	-9999	189	-9999
USTOOLIK	2002	DRY	0	2	OTC	ARCALP	142	-9999	-9999	-9999	158	-9999	-9999	-9999	191	232
USTOOLIK	2002	DRY	0	2	OTC	SALPHL	142	-9999	-9999	-9999	-9999	-9999	-9999	-9999	207	-9999
USTOOLIK	2002	DRY	0	3	CTL	DRYOCT	142	-9999	156	158	165	170	180	207	191	-9999
USTOOLIK	2002	DRY	0	3	CTL	VACVIT	142	-9999	149	170	185	203	235	-9999	212	-9999
USTOOLIK	2002	DRY	0	3	CTL	LOIPRO	142	-9999	-9999	151	161	170	203	-9999	189	-9999
USTOOLIK	2002	DRY	0	3	CTL	ARCALP	142	-9999	-9999	-9999	158	-9999	-9999	-9999	189	232
USTOOLIK	2002	DRY	0	3	CTL	SALPHL	142	-9999	-9999	-9999	-9999	-9999	-9999	-9999	219	235
USTOOLIK	2002	DRY	0	6	OTC	DRYOCT	142	-9999	151	156	161	168	205	212	205	-9999
USTOOLIK	2002	DRY	0	6	OTC	VACVIT	142	-9999	151	168	189	189	235	-9999	212	-9999
USTOOLIK	2002	DRY	0	6	OTC	ARCALP	142	-9999	-9999	-9999	158	-9999	-9999	-9999	191	232
USTOOLIK	2002	DRY	0	6	OTC	SALPHL	142	-9999	-9999	-9999	-9999	-9999	-9999	-9999	207	238
USTOOLIK	2002	DRY	0	8	CTL	DRYOCT	142	149	156	158	161	165	182	-9999	189	-9999
USTOOLIK	2002	DRY	0	8	CTL	VACVIT	142	-9999	154	175	185	192	235	-9999	212	-9999
USTOOLIK	2002	DRY	0	8	CTL	ARCALP	142	-9999	-9999	151	158	-9999	-9999	-9999	189	232
USTOOLIK	2002	DRY	0	8	CTL	SALPHL	142	151	-9999	-9999	-9999	-9999	-9999	-9999	210	238
USTOOLIK	2002	DRY	0	9	CTL	DRYOCT	142	-9999	158	170	-9999	-9999	-9999	-9999	189	-9999
